2020-03-11 10:12:37.982 [main] [AbstractTestContextBootstrapper.java:308] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.springweb.SearchServiceTest], using SpringBootContextLoader 
2020-03-11 10:12:38.068 [main] [AbstractContextLoader.java:264] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.springweb.SearchServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-03-11 10:12:38.070 [main] [AnnotationConfigContextLoaderUtils.java:83] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.springweb.SearchServiceTest]: SearchServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-03-11 10:12:38.224 [main] [SpringBootTestContextBootstrapper.java:235] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.springweb.SpringWebApplication for test class com.example.springweb.SearchServiceTest 
2020-03-11 10:12:38.344 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2020-03-11 10:12:38.361 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6c25e6c4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@85e6769, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@c5ee75e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@48a12036, org.springframework.test.context.support.DirtiesContextTestExecutionListener@bf1ec20, org.springframework.test.context.transaction.TransactionalTestExecutionListener@70efb718, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@b70da4c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4a11eb84, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4e858e0a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@435fb7b5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4e70a728, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@b7838a9] 
2020-03-11 10:12:38.719 [main] [StartupInfoLogger.java:50] INFO  com.example.springweb.SearchServiceTest - Starting SearchServiceTest on -20170731ICXQJL with PID 10016 (started by machenike in I:\2020spring\软件体系结构\hw\hw2\spring-web) 
2020-03-11 10:12:38.720 [main] [SpringApplication.java:647] INFO  com.example.springweb.SearchServiceTest - No active profile set, falling back to default profiles: default 
2020-03-11 10:12:40.836 [main] [ExecutorConfigurationSupport.java:171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-03-11 10:12:40.961 [main] [WelcomePageHandlerMapping.java:58] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index 
2020-03-11 10:12:41.389 [main] [StartupInfoLogger.java:59] INFO  com.example.springweb.SearchServiceTest - Started SearchServiceTest in 2.953 seconds (JVM running for 4.516) 
2020-03-11 10:12:41.862 [main] [HikariDataSource.java:110] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2020-03-11 10:12:42.601 [main] [HikariDataSource.java:123] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2020-03-11 10:12:42.670 [Thread-2] [ExecutorConfigurationSupport.java:208] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2020-03-11 10:12:42.672 [Thread-2] [HikariDataSource.java:350] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
2020-03-11 10:12:42.676 [Thread-2] [HikariDataSource.java:352] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
